n	ops	comparisons	collisions	load_factor	inserts	removes	finds	groups_total	groups_mean	groups_stdev	groups_min	groups_max
4759	4759	7462	2703	0.60601	4759	0	0	4344	1.09553	2748.69	1	2
4760	4760	7466	2706	0.606138	4760	0	0	4345	1.09551	2749.26	1	2
4761	4761	7467	2706	0.606265	4761	0	0	4346	1.09549	2749.88	1	2
4762	4762	7472	2710	0.606392	4762	0	0	4347	1.09547	2750.47	1	2
4763	4763	7473	2710	0.60652	4763	0	0	4348	1.09545	2751.04	1	2
4764	4764	7475	2711	0.606647	4764	0	0	4348	1.09568	2751.33	1	2
4765	4765	7476	2711	0.606775	4765	0	0	4349	1.09565	2751.95	1	2
4766	4766	7480	2714	0.606902	4766	0	0	4350	1.09563	2752.5	1	2
4767	4767	7485	2718	0.607029	4767	0	0	4350	1.09586	2752.66	1	2
4768	4768	7494	2726	0.607157	4768	0	0	4351	1.09584	2753.21	1	2
4769	4769	7495	2726	0.607284	4769	0	0	4353	1.09557	2753.77	1	2
4770	4770	7497	2727	0.607411	4770	0	0	4354	1.09554	2754.34	1	2
4771	4771	7499	2728	0.607539	4771	0	0	4354	1.09577	2754.78	1	2
4772	4772	7502	2730	0.607666	4772	0	0	4354	1.096	2754.81	1	2
4773	4773	7503	2730	0.607793	4773	0	0	4355	1.09598	2755.44	1	2
4774	4774	7506	2732	0.607921	4774	0	0	4356	1.09596	2756.04	1	2
4775	4775	7507	2732	0.608048	4775	0	0	4358	1.09569	2756.93	1	2
4776	4776	7514	2738	0.608175	4776	0	0	4359	1.09566	2757.53	1	2
4777	4777	7515	2738	0.608303	4777	0	0	4360	1.09564	2758.09	1	2
4778	4778	7516	2738	0.60843	4778	0	0	4361	1.09562	2758.66	1	2
4779	4779	7520	2741	0.608557	4779	0	0	4362	1.0956	2759.28	1	2
4780	4780	7521	2741	0.608685	4780	0	0	4364	1.09533	2760.05	1	2
4781	4781	7524	2743	0.608812	4781	0	0	4365	1.0953	2760.62	1	2
4782	4782	7525	2743	0.608939	4782	0	0	4366	1.09528	2761.23	1	2
4783	4783	7528	2745	0.609067	4783	0	0	4367	1.09526	2761.81	1	2
4784	4784	7531	2747	0.609194	4784	0	0	4368	1.09524	2762.43	1	2
4785	4785	7533	2748	0.609321	4785	0	0	4369	1.09522	2763.04	1	2
4786	4786	7534	2748	0.609449	4786	0	0	4370	1.09519	2763.65	1	2
4787	4787	7538	2751	0.609576	4787	0	0	4371	1.09517	2764.26	1	2
4788	4788	7539	2751	0.609703	4788	0	0	4372	1.09515	2764.83	1	2
